,Opt Action,Opt Value
186,0,0.0
187,0,0.0
188,0,0.0
189,0,0.0
190,0,0.0
191,0,33.0597776443
192,0,0.0
193,0,0.0
194,6,164.643490828
195,0,0.0
196,4,191.386905537
197,6,30.1194211912
198,0,0.0
199,6,134.798689235
200,0,134.798689235
201,0,0.0
202,0,0.0
203,0,60.5689553984
204,0,0.0
205,6,224.664482059
206,6,100.948258997
207,0,0.0
208,0,0.0
209,0,0.0
210,0,0.0
211,0,0.0
212,0,0.0
213,6,73.9790891825
214,6,89.8657928234
215,0,49.3193927883
216,0,0.0
217,3,36.7879441171
218,0,16.5298888222
219,3,33.0597776443
220,0,0.0
221,0,0.0
222,6,80.7586071979
223,0,0.0
224,6,150.597105956
225,6,100.948258997
226,0,0.0
227,0,0.0
228,3,13.5335283237
229,3,24.6596963942
230,0,0.0
231,0,0.0
232,6,60.2388423824
233,0,0.0
234,0,0.0
235,0,0.0
236,0,0.0
237,0,0.0
238,6,73.9790891825
239,3,60.5689553984
240,0,0.0
241,0,0.0
242,0,0.0
243,0,0.0
244,0,0.0
245,0,0.0
246,0,0.0
247,0,0.0
248,0,27.0670566473
249,0,0.0
250,0,0.0
251,0,0.0
252,4,182.306864008
253,0,0.0
254,0,0.0
255,6,75.2942729902
256,0,0.0
257,6,123.298481971
258,0,0.0
259,0,0.0
260,0,0.0
261,0,0.0
262,0,0.0
263,0,0.0
264,6,20.1896517995
265,0,0.0
266,0,0.0
267,6,109.762327219
268,0,0.0
269,6,20.1896517995
270,0,0.0
271,0,0.0
272,0,0.0
273,6,40.3793035989
274,6,33.0597776443
275,0,0.0
276,0,0.0
277,4,164.193645225
278,0,0.0
279,0,0.0
280,0,175.238770223
281,1,168.563573943
282,0,0.0
283,0,0.0
284,0,40.3793035989
285,0,130.611654378
286,3,59.9419475785
287,0,0.0
288,0,109.762327219
289,0,0.0
290,0,30.1194211912
291,0,0.0
292,0,0.0
293,0,0.0
294,0,0.0
295,6,49.3193927883
296,0,0.0
