,0,1,2,3,4,5,6
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,40.600584971,90.3582635737,90.3582635737,0.0,90.3582635737
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,60.2388423824,49.3193927883,54.1341132946,60.2388423824,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,72.1910713446,72.1910713446,40.600584971,73.9790891825
61,0.0,0.0,0.0,40.600584971,40.600584971,0.0,40.600584971
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,40.600584971,40.600584971,0.0,40.600584971
65,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,0.0,0.0,0.0,40.600584971,40.600584971,0.0,40.600584971
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,20.1896517995,0.0,0.0,0.0,16.5298888222,24.6596963942
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,73.9790891825,0.0,0.0,88.1743736549,72.1910713446,49.5896664665,73.9790891825
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,90.3582635737,0.0,49.5896664665,0.0,90.3582635737,0.0,90.3582635737
86,40.600584971,0.0,0.0,49.5896664665,40.600584971,0.0,40.600584971
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,0.0,20.1896517995,0.0,24.6596963942,0.0,16.5298888222,24.6596963942
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,20.1896517995,0.0,0.0,20.1896517995,0.0,13.5335283237,20.1896517995
