,0,1,2,3,4,5,6
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,0.0,0.0,0.0,72.1910713446,72.1910713446,40.600584971,73.9790891825
108,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,36.7879441171,30.1194211912,33.0597776444,36.7879441171,30.1194211912,0.0,0.0
111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,73.5758882343,60.2388423824,66.1195552886,73.5758882343,60.2388423824,0.0,0.0
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,30.1194211912,24.6596963942,27.0670566474,30.1194211912,0.0,0.0,0.0
118,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,0.0,90.3582635737,60.5689553984,134.798689235,110.363832351,0.0,110.363832351
120,0.0,40.600584971,0.0,60.5689553984,49.5896664665,0.0,49.5896664665
121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,60.2388423824,49.3193927883,54.1341132946,60.2388423824,0.0,0.0,0.0
123,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,0.0,20.1896517995,0.0,0.0,24.6596963942,20.1896517995,30.1194211912
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,0.0,0.0,0.0,40.600584971,40.600584971,0.0,40.600584971
130,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,44.9328964117,0.0,20.1896517995,44.9328964117,0.0,30.1194211912,44.9328964117
132,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,180.716527147,164.643490828,0.0,180.716527147,176.794331822,118.508784646,0.0
134,109.762327219,89.8657928234,98.6387855766,109.762327219,0.0,60.2388423824,0.0
135,49.3193927883,40.3793035989,0.0,0.0,0.0,27.0670566473,0.0
136,27.0670566473,22.1606316725,0.0,0.0,0.0,0.0,0.0
137,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,110.363832351,90.3582635737,99.179332933,110.363832351,90.3582635737,0.0,0.0
142,49.5896664665,40.600584971,0.0,0.0,40.600584971,0.0,0.0
143,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,0.0,0.0,0.0,0.0,0.0,22.1606316725,33.0597776443
145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,180.716527147,164.643490828,0.0,180.716527147,187.730088717,125.839241711,0.0
147,54.8811636094,44.9328964117,24.6596963942,54.8811636094,0.0,30.1194211912,0.0
148,54.8811636094,44.9328964117,49.3193927884,54.8811636094,0.0,30.1194211912,0.0
149,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
