Unnamed: 0,Action Betw,resource,satisfied demand,mean rem demand,actual rem demand,collected debris,satisfied demand.1,period,exponential period,degree,period_nonlinear,actual first rem,Qval
"(194, 5)",15.0,3.0,3.0,0,0.0,2.0,5.0,5.0,0.367879441171,0.0,0.367879441171,3.0,110.363832351
"(194, 6)",15.0,1.0,3.0,0,0.0,2.0,5.0,3.0,0.548811636094,0.0,0.548811636094,3.0,164.64349082799998
"(196, 1)",13.5,1.5,2.0,3,2.0,1.0,3.0,3.0,0.548811636094,1.0,0.548811636094,4.0,153.70039691100001
"(196, 2)",13.5,4.0,2.0,3,1.0,1.0,3.0,5.0,0.367879441171,1.0,0.367879441171,3.0,103.02845713299999
"(196, 4)",13.5,1.0,2.0,0,0.0,1.0,3.0,2.0,0.670320046036,1.0,0.670320046036,2.0,187.730088717
"(196, 5)",6.0,3.0,4.0,0,0.0,1.0,3.0,4.0,0.449328964117,1.0,0.449328964117,4.0,134.79868923500001
"(196, 6)",7.5,1.0,0.0,3,3.0,1.0,3.0,2.0,0.670320046036,0.0,0.670320046036,3.0,164.64349082799998
"(197, 1)",10.0,1.5,0.0,3,1.0,5.0,5.0,7.0,0.246596963942,0.0,0.246596963942,1.0,20.189651799500002
"(197, 4)",10.0,1.0,0.0,3,1.0,5.0,5.0,6.0,0.301194211912,0.0,0.301194211912,1.0,24.659696394200001
"(197, 5)",5.0,3.0,1.0,0,0.0,5.0,5.0,8.0,0.201896517995,0.0,0.201896517995,1.0,20.189651799500002
"(197, 6)",5.0,1.0,1.0,0,0.0,5.0,5.0,6.0,0.301194211912,0.0,0.301194211912,1.0,30.119421191199997
"(199, 0)",30.0,0.5,0.0,3,3.0,3.0,5.0,4.0,0.449328964117,0.0,0.449328964117,3.0,134.79868923500001
"(199, 2)",30.0,4.0,0.0,3,3.0,3.0,5.0,7.0,0.246596963942,0.0,0.246596963942,3.0,60.5689553984
