Unnamed: 0,Intercept,SNEBC,resource,Rem. demand,Rem. Debris,Satisfied demand,Exp period before,Exp period after,IG_1,Qval
"(13, 4)",1,18.0,1,3.0,5,4.0,0.818730753078,0.818730753078,3.0,245.61922592299999
"(13, 5)",1,18.0,3,3.0,7,4.0,0.818730753078,0.670320046036,3.0,201.09601381099998
"(16, 3)",1,27.0,2,3.0,12,1.0,0.670320046036,0.548811636094,3.0,164.64349082799998
"(16, 4)",1,27.0,1,3.0,11,1.0,0.670320046036,0.548811636094,3.0,164.64349082799998
"(16, 6)",1,27.0,1,3.0,11,1.0,0.670320046036,0.548811636094,3.0,164.64349082799998
"(21, 0)",1,10.0,1,2.0,5,5.0,0.818730753078,0.818730753078,0.0,134.064009207
"(21, 2)",1,10.0,3,2.0,7,5.0,0.818730753078,0.670320046036,0.0,134.064009207
"(21, 3)",1,10.0,2,2.0,6,5.0,0.818730753078,0.670320046036,0.0,134.064009207
"(21, 5)",1,10.0,3,2.0,7,5.0,0.818730753078,0.670320046036,0.0,134.064009207
"(21, 6)",1,10.0,1,2.0,5,5.0,0.818730753078,0.818730753078,0.0,163.74615061599999
"(24, 1)",1,0.0,3,3.0,7,4.0,0.818730753078,0.670320046036,0.0,201.09601381099998
"(24, 3)",1,18.0,2,3.0,6,4.0,0.818730753078,0.670320046036,3.0,201.09601381099998
"(24, 4)",1,18.0,1,3.0,5,4.0,0.818730753078,0.818730753078,3.0,215.93708451500001
"(24, 5)",1,0.0,3,3.0,7,4.0,0.818730753078,0.670320046036,0.0,201.09601381099998
"(24, 6)",1,18.0,1,3.0,5,4.0,0.818730753078,0.818730753078,3.0,245.61922592299999
"(25, 3)",1,18.0,2,3.0,9,4.0,0.670320046036,0.670320046036,3.0,201.09601381099998
"(25, 4)",1,18.0,1,3.0,8,4.0,0.818730753078,0.670320046036,3.0,201.09601381099998
"(25, 5)",1,0.0,3,3.0,10,4.0,0.818730753078,0.670320046036,0.0,164.64349082799998
"(25, 6)",1,18.0,1,3.0,8,4.0,0.818730753078,0.670320046036,3.0,201.09601381099998
"(27, 1)",1,0.0,3,3.0,7,5.0,0.818730753078,0.670320046036,0.0,201.09601381099998
"(27, 3)",1,15.0,2,3.0,6,5.0,0.818730753078,0.670320046036,3.0,201.09601381099998
"(27, 4)",1,15.0,1,3.0,5,5.0,0.818730753078,0.818730753078,3.0,201.09601381099998
"(27, 5)",1,0.0,3,3.0,7,5.0,0.818730753078,0.670320046036,0.0,201.09601381099998
"(27, 6)",1,15.0,1,3.0,5,5.0,0.818730753078,0.818730753078,3.0,245.61922592299999
"(28, 1)",1,0.0,3,3.0,10,5.0,0.818730753078,0.670320046036,0.0,164.64349082799998
"(28, 3)",1,15.0,2,3.0,9,5.0,0.670320046036,0.670320046036,3.0,201.09601381099998
"(28, 4)",1,15.0,1,3.0,8,5.0,0.818730753078,0.670320046036,3.0,201.09601381099998
"(28, 6)",1,15.0,1,3.0,8,5.0,0.818730753078,0.670320046036,3.0,201.09601381099998
"(30, 2)",1,10.0,3,1.0,9,5.0,0.818730753078,0.670320046036,0.0,67.032004603600001
"(30, 4)",1,10.0,1,1.0,7,5.0,0.670320046036,0.670320046036,0.0,67.032004603600001
"(30, 5)",1,5.0,3,1.0,9,5.0,0.670320046036,0.670320046036,0.0,67.032004603600001
"(30, 6)",1,5.0,1,1.0,7,5.0,0.670320046036,0.670320046036,0.0,67.032004603600001
"(31, 2)",1,10.0,3,1.0,10,5.0,0.670320046036,0.670320046036,0.0,54.881163609399998
"(31, 5)",1,5.0,3,1.0,10,5.0,0.818730753078,0.670320046036,0.0,67.032004603600001
"(31, 6)",1,5.0,1,1.0,8,5.0,0.670320046036,0.670320046036,0.0,67.032004603600001
"(39, 5)",1,5.0,3,1.0,13,5.0,0.670320046036,0.548811636094,0.0,54.881163609399998
"(39, 6)",1,5.0,1,1.0,11,5.0,0.670320046036,0.548811636094,0.0,54.881163609399998
"(42, 1)",1,20.0,3,2.0,9,5.0,0.670320046036,0.670320046036,0.0,134.064009207
"(42, 4)",1,20.0,1,2.0,7,5.0,0.818730753078,0.670320046036,0.0,134.064009207
"(42, 5)",1,10.0,3,2.0,9,5.0,0.818730753078,0.670320046036,0.0,134.064009207
"(42, 6)",1,10.0,1,2.0,7,5.0,0.670320046036,0.670320046036,0.0,134.064009207
"(43, 4)",1,20.0,1,2.0,10,5.0,0.818730753078,0.670320046036,0.0,109.762327219
"(43, 5)",1,10.0,3,2.0,12,5.0,0.670320046036,0.548811636094,0.0,109.762327219
"(43, 6)",1,10.0,1,2.0,10,5.0,0.670320046036,0.670320046036,0.0,134.064009207
"(45, 2)",1,20.0,3,2.0,8,5.0,0.818730753078,0.670320046036,0.0,134.064009207
"(45, 3)",1,20.0,2,2.0,7,5.0,0.818730753078,0.670320046036,0.0,134.064009207
"(45, 5)",1,10.0,3,2.0,8,5.0,0.818730753078,0.670320046036,0.0,134.064009207
"(45, 6)",1,10.0,1,2.0,6,5.0,0.818730753078,0.670320046036,0.0,134.064009207
"(47, 1)",1,10.0,3,1.0,9,5.0,0.818730753078,0.670320046036,0.0,67.032004603600001
"(47, 4)",1,10.0,1,1.0,7,5.0,0.818730753078,0.670320046036,0.0,67.032004603600001
"(47, 5)",1,5.0,3,1.0,9,5.0,0.818730753078,0.670320046036,0.0,67.032004603600001
"(47, 6)",1,5.0,1,1.0,7,5.0,0.670320046036,0.670320046036,0.0,67.032004603600001
"(49, 3)",1,20.0,2,2.0,10,5.0,0.670320046036,0.670320046036,0.0,109.762327219
"(49, 5)",1,10.0,3,2.0,11,5.0,0.670320046036,0.548811636094,0.0,109.762327219
"(49, 6)",1,10.0,1,2.0,9,5.0,0.818730753078,0.670320046036,0.0,134.064009207
"(50, 5)",1,10.0,3,2.0,13,5.0,0.818730753078,0.548811636094,0.0,109.762327219
"(50, 6)",1,10.0,1,2.0,11,5.0,0.670320046036,0.548811636094,0.0,109.762327219
"(52, 1)",1,20.0,3,2.0,10,5.0,0.670320046036,0.670320046036,0.0,109.762327219
"(52, 5)",1,10.0,3,2.0,10,5.0,0.818730753078,0.670320046036,0.0,134.064009207
"(52, 6)",1,10.0,1,2.0,8,5.0,0.818730753078,0.670320046036,0.0,134.064009207
"(53, 5)",1,10.0,3,2.0,13,5.0,0.670320046036,0.548811636094,0.0,109.762327219
"(53, 6)",1,10.0,1,2.0,11,5.0,0.818730753078,0.548811636094,0.0,109.762327219
"(55, 0)",1,5.0,1,3.0,4,3.0,0.818730753078,0.818730753078,0.0,229.29404814900002
"(55, 1)",1,0.0,3,3.0,6,3.0,0.818730753078,0.670320046036,0.0,201.09601381099998
"(55, 2)",1,5.0,3,3.0,6,3.0,0.818730753078,0.670320046036,0.0,201.09601381099998
"(55, 4)",1,6.0,1,3.0,4,3.0,0.818730753078,0.818730753078,3.0,229.29404814900002
"(55, 6)",1,6.0,1,3.0,4,3.0,0.818730753078,0.818730753078,3.0,229.29404814900002
"(60, 3)",1,15.0,2,3.0,9,5.0,0.670320046036,0.670320046036,3.0,201.09601381099998
"(60, 4)",1,15.0,1,3.0,8,5.0,0.818730753078,0.670320046036,3.0,201.09601381099998
"(60, 5)",1,0.0,3,3.0,10,5.0,0.818730753078,0.670320046036,0.0,164.64349082799998
"(60, 6)",1,15.0,1,3.0,8,5.0,0.670320046036,0.670320046036,3.0,201.09601381099998
"(63, 3)",1,15.0,2,3.0,12,5.0,0.670320046036,0.548811636094,3.0,164.64349082799998
"(63, 4)",1,15.0,1,3.0,11,5.0,0.818730753078,0.548811636094,3.0,164.64349082799998
"(63, 6)",1,15.0,1,3.0,11,5.0,0.670320046036,0.548811636094,3.0,164.64349082799998
"(65, 0)",1,0.0,1,3.0,2,4.0,0.818730753078,0.818730753078,0.0,245.61922592299999
"(65, 1)",1,8.0,3,3.0,4,4.0,0.818730753078,0.818730753078,3.0,245.61922592299999
