Unnamed: 0,q_val
"(214, 2)",40.379303598900002
"(214, 4)",73.57588823430001
"(214, 5)",60.238842382399994
"(214, 6)",89.8657928234
"(215, 0)",49.3193927883
"(215, 1)",40.379303598900002
"(215, 3)",49.3193927883
"(215, 5)",27.067056647299999
"(217, 0)",36.787944117100004
"(217, 1)",30.119421191199997
"(217, 2)",16.5298888222
"(217, 3)",36.787944117100004
"(217, 4)",30.119421191199997
"(218, 0)",16.5298888222
"(218, 1)",13.533528323699999
"(218, 3)",16.5298888222
"(218, 4)",13.533528323699999
"(219, 0)",33.059777644299999
"(219, 1)",27.067056647299999
"(219, 3)",33.059777644299999
"(219, 4)",27.067056647299999
"(222, 4)",80.758607197900005
"(222, 5)",54.134113294599999
"(222, 6)",80.758607197900005
"(224, 1)",100.94825899700001
"(224, 4)",123.298481971
"(224, 5)",100.94825899700001
"(224, 6)",150.59710595600001
"(225, 4)",100.94825899700001
"(225, 5)",67.667641618299996
"(225, 6)",100.94825899700001
"(228, 0)",13.533528323699999
"(228, 1)",11.080315836199999
"(228, 3)",13.533528323699999
"(229, 1)",20.189651799500002
"(229, 3)",24.659696394200001
"(229, 5)",16.5298888222
"(229, 6)",24.659696394200001
"(232, 1)",40.379303598900002
"(232, 4)",49.3193927883
"(232, 5)",40.379303598900002
"(232, 6)",60.238842382399994
"(238, 1)",49.589666466499999
"(238, 5)",49.589666466499999
"(238, 6)",73.979089182500005
"(239, 1)",40.600584970999996
"(239, 3)",60.5689553984
"(239, 4)",49.589666466499999
"(239, 6)",49.589666466499999
"(248, 0)",27.067056647299999
"(248, 1)",22.160631672499999
"(248, 3)",27.067056647299999
"(252, 1)",160.66418394900001
"(252, 2)",107.696423181
"(252, 4)",196.23567741299999
"(252, 5)",134.79868923500001
"(252, 6)",164.64349082799998
"(255, 3)",72.494280934200006
"(255, 4)",69.062040128299998
"(255, 5)",40.600584970999996
"(255, 6)",73.979089182500005
"(257, 1)",100.94825899700001
"(257, 5)",82.649444110800005
"(257, 6)",123.298481971
"(264, 4)",16.5298888222
"(264, 5)",13.533528323699999
"(264, 6)",20.189651799500002
"(267, 1)",73.57588823430001
"(267, 2)",49.3193927883
"(267, 5)",73.57588823430001
"(267, 6)",109.762327219
"(269, 0)",20.189651799500002
"(269, 3)",20.189651799500002
"(269, 5)",13.533528323699999
"(269, 6)",20.189651799500002
"(273, 4)",33.059777644299999
"(273, 5)",27.067056647299999
"(273, 6)",40.379303598900002
"(274, 5)",22.160631672499999
"(274, 6)",33.059777644299999
"(277, 1)",134.79868923500001
"(277, 2)",90.358263573700015
"(277, 4)",164.64349082799998
"(277, 5)",110.363832351
"(280, 0)",180.71652714699999
"(280, 1)",164.64349082799998
"(280, 3)",180.71652714699999
"(280, 4)",199.88092971099999
"(280, 5)",133.984194006
"(281, 0)",164.64349082799998
"(281, 1)",164.64349082799998
"(281, 2)",180.71652714699999
"(281, 3)",164.64349082799998
"(281, 4)",164.64349082799998
"(281, 5)",110.363832351
"(284, 0)",40.379303598900002
"(284, 3)",40.379303598900002
"(284, 5)",27.067056647299999
"(284, 6)",40.379303598900002
"(285, 0)",134.79868923500001
"(285, 1)",90.358263573700015
"(285, 2)",68.291030905299991
"(285, 4)",118.50878464600001
"(285, 6)",118.50878464600001
"(286, 1)",40.600584970999996
"(286, 3)",60.5689553984
"(286, 4)",49.589666466499999
"(286, 6)",49.589666466499999
"(288, 0)",109.762327219
"(288, 1)",89.8657928234
"(288, 2)",98.6387855766
"(288, 3)",109.762327219
"(288, 5)",60.238842382399994
"(290, 0)",30.119421191199997
"(290, 1)",24.659696394200001
"(290, 4)",24.659696394200001
"(290, 5)",16.5298888222
"(295, 1)",33.059777644299999
"(295, 5)",33.059777644299999
"(295, 6)",49.3193927883
"(297, 1)",134.79868923500001
"(297, 2)",90.358263573700015
"(297, 4)",164.64349082799998
"(297, 5)",110.363832351
"(301, 2)",49.589666466499999
"(301, 5)",73.979089182500005
"(301, 6)",110.363832351
"(302, 5)",33.240947508699996
"(302, 6)",49.589666466499999
"(307, 0)",80.758607197900005
"(307, 3)",80.758607197900005
"(307, 5)",44.321263344899997
"(307, 6)",66.119555288599997
"(308, 0)",89.8657928234
"(308, 2)",40.379303598900002
"(308, 3)",89.8657928234
"(308, 5)",60.238842382399994
"(308, 6)",89.8657928234
"(314, 0)",49.3193927883
"(314, 1)",40.379303598900002
"(314, 5)",27.067056647299999
"(322, 0)",110.363832351
"(322, 1)",90.358263573700015
"(322, 2)",49.589666466499999
"(322, 3)",110.363832351
