,Intercept,SNEBC,resource,Rem. demand,Rem. Debris,Satisfied demand,Exp period before,Exp period after,IG_1
"(50, 6)",1,10.0,1,2.0,11,5.0,0.670320046036,0.548811636094,0.0
"(52, 1)",1,20.0,3,2.0,10,5.0,0.670320046036,0.670320046036,0.0
"(52, 5)",1,10.0,3,2.0,10,5.0,0.818730753078,0.670320046036,0.0
"(52, 6)",1,10.0,1,2.0,8,5.0,0.818730753078,0.670320046036,0.0
"(53, 5)",1,10.0,3,2.0,13,5.0,0.670320046036,0.548811636094,0.0
"(53, 6)",1,10.0,1,2.0,11,5.0,0.818730753078,0.548811636094,0.0
"(55, 0)",1,5.0,1,3.0,4,3.0,0.818730753078,0.818730753078,0.0
"(55, 1)",1,0.0,3,3.0,6,3.0,0.818730753078,0.670320046036,0.0
"(55, 2)",1,5.0,3,3.0,6,3.0,0.818730753078,0.670320046036,0.0
"(55, 4)",1,6.0,1,3.0,4,3.0,0.818730753078,0.818730753078,3.0
"(55, 6)",1,6.0,1,3.0,4,3.0,0.818730753078,0.818730753078,3.0
"(60, 3)",1,15.0,2,3.0,9,5.0,0.670320046036,0.670320046036,3.0
"(60, 4)",1,15.0,1,3.0,8,5.0,0.818730753078,0.670320046036,3.0
"(60, 5)",1,0.0,3,3.0,10,5.0,0.818730753078,0.670320046036,0.0
"(60, 6)",1,15.0,1,3.0,8,5.0,0.670320046036,0.670320046036,3.0
"(63, 3)",1,15.0,2,3.0,12,5.0,0.670320046036,0.548811636094,3.0
"(63, 4)",1,15.0,1,3.0,11,5.0,0.818730753078,0.548811636094,3.0
"(63, 6)",1,15.0,1,3.0,11,5.0,0.670320046036,0.548811636094,3.0
"(65, 0)",1,0.0,1,3.0,2,4.0,0.818730753078,0.818730753078,0.0
"(65, 1)",1,8.0,3,3.0,4,4.0,0.818730753078,0.818730753078,3.0
"(65, 3)",1,0.0,2,3.0,3,4.0,0.818730753078,0.818730753078,0.0
"(65, 4)",1,8.0,1,3.0,2,4.0,0.818730753078,0.818730753078,3.0
"(65, 5)",1,8.0,3,3.0,4,4.0,0.818730753078,0.818730753078,3.0
"(66, 0)",1,1.66666666667,1,2.0,5,5.0,0.818730753078,0.818730753078,0.0
"(66, 1)",1,1.66666666667,3,2.0,7,5.0,0.818730753078,0.670320046036,0.0
"(66, 2)",1,3.33333333333,3,2.0,7,5.0,0.818730753078,0.670320046036,0.0
"(66, 3)",1,3.33333333333,2,2.0,6,5.0,0.818730753078,0.670320046036,0.0
"(66, 4)",1,3.33333333333,1,2.0,5,5.0,0.818730753078,0.818730753078,0.0
"(67, 0)",1,1.66666666667,1,2.0,6,5.0,0.818730753078,0.670320046036,0.0
"(67, 1)",1,1.66666666667,3,2.0,8,5.0,0.818730753078,0.670320046036,0.0
"(67, 2)",1,3.33333333333,3,2.0,8,5.0,0.818730753078,0.670320046036,0.0
"(67, 3)",1,3.33333333333,2,2.0,7,5.0,0.818730753078,0.670320046036,0.0
"(69, 1)",1,8.5,3,3.0,5,3.0,0.818730753078,0.818730753078,3.0
"(69, 2)",1,8.5,3,3.0,5,3.0,0.818730753078,0.818730753078,3.0
"(69, 3)",1,2.5,2,3.0,4,3.0,0.818730753078,0.818730753078,0.0
"(69, 4)",1,11.0,1,3.0,3,3.0,0.818730753078,0.818730753078,3.0
"(69, 5)",1,11.0,3,3.0,5,3.0,0.818730753078,0.818730753078,3.0
"(74, 1)",1,10.0,3,1.0,10,5.0,0.818730753078,0.670320046036,0.0
"(74, 5)",1,5.0,3,1.0,10,5.0,0.670320046036,0.670320046036,0.0
"(74, 6)",1,5.0,1,1.0,8,5.0,0.818730753078,0.670320046036,0.0
"(76, 0)",1,0.0,1,3.0,7,3.0,0.818730753078,0.670320046036,0.0
"(76, 3)",1,21.0,2,3.0,8,3.0,0.670320046036,0.670320046036,3.0
"(76, 4)",1,21.0,1,3.0,7,3.0,0.818730753078,0.670320046036,3.0
"(76, 5)",1,0.0,3,3.0,9,3.0,0.818730753078,0.670320046036,0.0
"(76, 6)",1,21.0,1,3.0,7,3.0,0.818730753078,0.670320046036,3.0
"(77, 0)",1,20.0,1,2.0,9,5.0,0.818730753078,0.670320046036,0.0
"(77, 4)",1,20.0,1,2.0,9,5.0,0.818730753078,0.670320046036,0.0
"(77, 5)",1,10.0,3,2.0,11,5.0,0.670320046036,0.548811636094,0.0
"(77, 6)",1,10.0,1,2.0,9,5.0,0.818730753078,0.670320046036,0.0
"(82, 2)",1,20.0,3,2.0,10,5.0,0.670320046036,0.670320046036,0.0
"(82, 5)",1,10.0,3,2.0,10,5.0,0.670320046036,0.670320046036,0.0
"(82, 6)",1,10.0,1,2.0,8,5.0,0.670320046036,0.670320046036,0.0
"(84, 1)",1,5.5,3,3.0,5,4.0,0.818730753078,0.818730753078,3.0
"(84, 2)",1,5.5,3,3.0,5,4.0,0.818730753078,0.818730753078,3.0
"(84, 3)",1,2.5,2,3.0,4,4.0,0.818730753078,0.818730753078,0.0
"(84, 4)",1,8.0,1,3.0,3,4.0,0.818730753078,0.818730753078,3.0
"(84, 5)",1,8.0,3,3.0,5,4.0,0.818730753078,0.818730753078,3.0
"(91, 0)",1,20.0,1,2.0,10,5.0,0.670320046036,0.670320046036,0.0
"(91, 5)",1,10.0,3,2.0,12,5.0,0.670320046036,0.548811636094,0.0
"(91, 6)",1,10.0,1,2.0,10,5.0,0.670320046036,0.670320046036,0.0
"(93, 4)",1,10.0,1,1.0,10,5.0,0.818730753078,0.670320046036,0.0
