,Action Betw,resource,satisfied demand,mean rem demand,actual rem demand,collected debris,satisfied demand,period,exponential period,degree
"(47, 6)",21.0,1,3.0,0,0.0,7,3.0,1.0,0.818730753078,0.75
"(51, 1)",7.5,3,3.0,0,0.0,6,5.0,1.0,0.818730753078,0.0
"(51, 2)",7.5,3,3.0,0,0.0,6,5.0,1.0,0.818730753078,0.0
"(51, 3)",7.5,2,3.0,0,0.0,6,5.0,3.0,0.548811636094,0.0
"(53, 0)",5.0,1,0.0,3,3.0,3,4.0,1.0,0.818730753078,0.75
"(53, 1)",0.0,3,0.0,3,3.0,3,4.0,1.0,0.818730753078,0.0
"(53, 2)",5.0,3,0.0,3,3.0,3,4.0,1.0,0.818730753078,0.75
"(53, 4)",3.0,1,1.0,3,2.0,3,4.0,2.0,0.670320046036,0.75
"(53, 6)",3.0,1,1.0,3,2.0,3,4.0,1.0,0.818730753078,0.75
"(54, 0)",1.66666666667,1,0.0,3,2.0,4,5.0,1.0,0.818730753078,0.75
"(54, 1)",1.66666666667,3,2.0,0,0.0,4,5.0,1.0,0.818730753078,0.0
"(54, 2)",3.33333333333,3,0.0,3,2.0,4,5.0,2.0,0.670320046036,0.75
"(54, 3)",3.33333333333,2,0.0,3,2.0,4,5.0,1.0,0.818730753078,0.75
"(54, 6)",3.33333333333,1,0.0,3,2.0,4,5.0,1.0,0.818730753078,0.0
"(55, 0)",10.0,1,2.0,0,0.0,7,5.0,1.0,0.818730753078,0.0
"(55, 1)",10.0,3,2.0,0,0.0,7,5.0,4.0,0.449328964117,0.0
"(55, 3)",20.0,2,0.0,3,2.0,7,5.0,1.0,0.818730753078,0.0
"(55, 6)",20.0,1,0.0,3,2.0,7,5.0,1.0,0.818730753078,0.0
"(60, 0)",0.0,1,0.0,3,3.0,6,5.0,1.0,0.818730753078,0.75
"(60, 2)",0.0,3,0.0,3,3.0,6,5.0,3.0,0.548811636094,0.75
"(60, 4)",15.0,1,5.0,0,0.0,6,5.0,3.0,0.548811636094,0.75
"(60, 6)",15.0,1,3.0,0,0.0,6,5.0,1.0,0.818730753078,0.75
"(62, 0)",0.0,1,0.0,3,3.0,3,1.0,2.0,0.670320046036,0.75
"(62, 2)",0.0,3,0.0,3,3.0,3,1.0,1.0,0.818730753078,0.75
"(62, 4)",27.0,1,4.0,0,0.0,3,1.0,1.0,0.818730753078,0.75
"(62, 5)",0.0,3,0.0,3,3.0,3,1.0,1.0,0.818730753078,0.0
"(62, 6)",27.0,1,2.0,0,0.0,3,1.0,1.0,0.818730753078,0.75
"(63, 2)",0.0,3,0.0,3,3.0,4,1.0,2.0,0.670320046036,0.0
"(63, 3)",27.0,2,3.0,0,0.0,4,1.0,1.0,0.818730753078,0.75
"(63, 4)",27.0,1,2.0,0,0.0,4,1.0,1.0,0.818730753078,0.75
"(63, 5)",0.0,3,0.0,3,3.0,4,1.0,1.0,0.818730753078,0.0
"(63, 6)",27.0,1,4.0,0,0.0,4,1.0,2.0,0.670320046036,0.75
"(65, 0)",10.0,1,2.0,0,0.0,8,5.0,4.0,0.449328964117,0.0
"(65, 1)",10.0,3,2.0,0,0.0,8,5.0,1.0,0.818730753078,0.0
"(65, 3)",20.0,2,0.0,3,2.0,8,5.0,1.0,0.818730753078,0.0
"(67, 1)",2.5,3,2.0,0,0.0,2,5.0,1.0,0.818730753078,1.0
"(67, 2)",2.5,3,3.0,0,0.0,2,5.0,1.0,0.818730753078,1.0
"(67, 3)",2.5,2,0.0,3,3.0,2,5.0,1.0,0.818730753078,0.0
"(67, 4)",5.0,1,0.0,3,3.0,2,5.0,1.0,0.818730753078,1.0
"(67, 5)",5.0,3,0.0,3,3.0,2,5.0,1.0,0.818730753078,1.0
"(68, 1)",7.5,3,3.0,0,0.0,5,5.0,3.0,0.548811636094,0.0
"(68, 2)",7.5,3,3.0,0,0.0,5,5.0,1.0,0.818730753078,0.0
"(68, 3)",7.5,2,3.0,0,0.0,5,5.0,1.0,0.818730753078,0.0
"(68, 4)",15.0,1,0.0,3,3.0,5,5.0,1.0,0.818730753078,0.0
"(70, 3)",18.0,2,4.0,0,0.0,10,4.0,1.0,0.818730753078,0.75
"(70, 4)",18.0,1,4.0,0,0.0,10,4.0,1.0,0.818730753078,0.75
"(70, 6)",18.0,1,4.0,0,0.0,10,4.0,5.0,0.367879441171,0.75
"(72, 1)",5.0,3,2.0,0,0.0,5,5.0,1.0,0.818730753078,0.0
"(72, 2)",5.0,3,2.0,0,0.0,5,5.0,3.0,0.548811636094,0.0
"(72, 3)",5.0,2,2.0,0,0.0,5,5.0,1.0,0.818730753078,0.0
"(72, 6)",10.0,1,0.0,3,2.0,5,5.0,1.0,0.818730753078,0.0
"(75, 1)",40.0,3,0.0,3,4.0,6,5.0,1.0,0.818730753078,0.0
"(75, 4)",40.0,1,0.0,3,4.0,6,5.0,1.0,0.818730753078,0.0
"(75, 5)",20.0,3,4.0,0,0.0,6,5.0,3.0,0.548811636094,0.0
"(75, 6)",20.0,1,4.0,0,0.0,6,5.0,1.0,0.818730753078,0.0
"(78, 4)",40.0,1,0.0,3,4.0,9,5.0,5.0,0.367879441171,0.0
"(78, 5)",20.0,3,4.0,0,0.0,9,5.0,5.0,0.367879441171,0.0
"(78, 6)",20.0,1,4.0,0,0.0,9,5.0,1.0,0.818730753078,0.0
"(80, 3)",30.0,2,0.0,3,3.0,8,5.0,4.0,0.449328964117,0.0
"(80, 5)",15.0,3,3.0,0,0.0,8,5.0,1.0,0.818730753078,0.0
"(80, 6)",15.0,1,3.0,0,0.0,8,5.0,1.0,0.818730753078,0.0
"(81, 1)",5.0,3,2.0,0,0.0,6,5.0,3.0,0.548811636094,0.0
"(81, 2)",5.0,3,2.0,0,0.0,6,5.0,3.0,0.548811636094,0.0
"(81, 3)",5.0,2,2.0,0,0.0,6,5.0,3.0,0.548811636094,0.0
"(84, 2)",30.0,3,0.0,3,3.0,6,5.0,1.0,0.818730753078,0.0
"(84, 4)",30.0,1,0.0,3,3.0,6,5.0,1.0,0.818730753078,0.0
"(84, 5)",15.0,3,3.0,0,0.0,6,5.0,1.0,0.818730753078,0.0
"(84, 6)",15.0,1,3.0,0,0.0,6,5.0,3.0,0.548811636094,0.0
"(85, 3)",10.0,2,0.0,3,1.0,8,5.0,1.0,0.818730753078,0.0
"(85, 5)",5.0,3,1.0,0,0.0,8,5.0,1.0,0.818730753078,0.0
"(85, 6)",5.0,1,1.0,0,0.0,8,5.0,4.0,0.449328964117,0.0
"(87, 0)",20.0,1,0.0,3,4.0,4,5.0,1.0,0.818730753078,0.75
"(87, 2)",20.0,3,0.0,3,4.0,4,5.0,1.0,0.818730753078,0.75
"(87, 3)",20.0,2,0.0,3,4.0,4,5.0,2.0,0.670320046036,0.75
