,Intercept,SNEBC,resource,Rem. demand,Rem. Debris,Satisfied demand,Exp period before,Exp period after,BC_debris,BC_regular,BC_regular_sp,IG_1
"(196, 0)",1,30.0,0.5,3.0,10.0,5.0,0.818730753078,0.135335283237,4.0,2.0,15.0,0.0
"(196, 1)",1,30.0,1.5,3.0,11.0,5.0,0.135335283237,0.110803158362,4.0,2.0,15.0,0.0
"(198, 0)",1,0.0,0.5,3.0,5.0,5.0,0.367879441171,0.367879441171,4.0,2.0,0.0,0.0
"(198, 1)",1,30.0,1.5,3.0,6.0,5.0,0.367879441171,0.301194211912,4.0,2.0,15.0,0.0
"(198, 2)",1,30.0,4.0,3.0,8.5,5.0,0.818730753078,0.165298888222,4.0,2.0,15.0,0.0
"(198, 3)",1,30.0,0.5,3.0,5.0,5.0,0.818730753078,0.367879441171,4.0,2.0,15.0,0.0
"(198, 4)",1,60.0,1.0,3.0,5.5,5.0,0.818730753078,0.301194211912,4.0,2.0,30.0,0.0
"(200, 0)",1,10.0,0.5,1.0,6.5,5.0,0.818730753078,0.246596963942,2.0,2.0,10.0,0.0
"(200, 4)",1,10.0,1.0,1.0,7.0,5.0,0.301194211912,0.246596963942,2.0,2.0,10.0,0.0
"(200, 5)",1,5.0,3.0,1.0,9.0,5.0,0.818730753078,0.165298888222,2.0,2.0,5.0,0.0
"(200, 6)",1,5.0,1.0,1.0,7.0,5.0,0.818730753078,0.246596963942,2.0,2.0,5.0,0.0
"(201, 0)",1,30.0,0.5,3.0,9.0,5.0,0.818730753078,0.165298888222,4.0,2.0,15.0,0.0
"(201, 1)",1,30.0,1.5,3.0,10.0,5.0,0.818730753078,0.135335283237,4.0,2.0,15.0,0.0
"(201, 6)",1,60.0,1.0,3.0,9.5,5.0,0.165298888222,0.135335283237,4.0,2.0,30.0,0.0
"(204, 2)",1,0.0,4.0,3.0,6.0,1.0,0.818730753078,0.301194211912,4.0,4.0,0.0,0.0
"(204, 3)",1,39.0,0.5,3.0,2.5,1.0,0.818730753078,0.548811636094,6.33333333333,4.0,27.0,3.0
"(204, 4)",1,39.0,1.0,3.0,3.0,1.0,0.670320046036,0.548811636094,6.33333333333,4.0,27.0,3.0
"(204, 5)",1,0.0,3.0,3.0,5.0,1.0,0.818730753078,0.367879441171,3.0,4.0,0.0,0.0
"(204, 6)",1,39.0,1.0,3.0,3.0,1.0,0.818730753078,0.548811636094,5.33333333333,4.0,27.0,3.0
"(208, 2)",1,0.0,4.0,3.0,9.0,1.0,0.818730753078,0.165298888222,4.0,2.0,0.0,0.0
"(208, 3)",1,54.0,0.5,3.0,5.5,1.0,0.818730753078,0.301194211912,4.0,2.0,27.0,3.0
"(208, 4)",1,54.0,1.0,3.0,6.0,1.0,0.367879441171,0.301194211912,4.0,2.0,27.0,3.0
"(208, 6)",1,54.0,1.0,3.0,6.0,1.0,0.818730753078,0.301194211912,4.0,2.0,27.0,3.0
"(215, 0)",1,15.0,0.5,3.0,7.5,3.0,0.246596963942,0.201896517995,8.0,4.0,7.5,0.0
"(215, 1)",1,15.0,1.5,3.0,8.5,3.0,0.818730753078,0.165298888222,8.0,4.0,7.5,0.0
"(215, 3)",1,27.0,0.5,3.0,7.5,3.0,0.818730753078,0.201896517995,8.0,4.0,13.5,3.0
"(215, 4)",1,27.0,1.0,3.0,8.0,3.0,0.818730753078,0.201896517995,8.0,4.0,13.5,3.0
"(215, 6)",1,27.0,1.0,3.0,8.0,3.0,0.246596963942,0.201896517995,8.0,4.0,13.5,3.0
"(216, 0)",1,20.0,0.5,2.0,8.5,5.0,0.818730753078,0.165298888222,4.0,2.0,10.0,0.0
"(216, 1)",1,20.0,1.5,2.0,9.5,5.0,0.201896517995,0.135335283237,4.0,2.0,10.0,0.0
"(216, 3)",1,40.0,0.5,2.0,8.5,5.0,0.818730753078,0.165298888222,4.0,2.0,20.0,0.0
"(216, 4)",1,40.0,1.0,2.0,9.0,5.0,0.818730753078,0.165298888222,4.0,2.0,20.0,0.0
"(219, 0)",1,20.0,0.5,2.0,6.5,5.0,0.818730753078,0.246596963942,4.0,2.0,10.0,0.0
"(219, 1)",1,20.0,1.5,2.0,7.5,5.0,0.818730753078,0.201896517995,4.0,2.0,10.0,0.0
"(219, 3)",1,40.0,0.5,2.0,6.5,5.0,0.301194211912,0.246596963942,4.0,2.0,20.0,0.0
"(219, 5)",1,40.0,3.0,2.0,9.0,5.0,0.301194211912,0.165298888222,4.0,2.0,20.0,0.0
"(221, 0)",1,0.0,0.5,3.0,6.0,1.0,0.818730753078,0.301194211912,4.0,4.0,0.0,0.0
