,Action Betw,resource,satisfied demand,mean rem demand,actual rem demand,collected debris,satisfied demand,period,exponential period,degree
"(46, 1)",20.0,3,0.0,3,2.0,5,5.0,1.0,0.818730753078,0.0
"(46, 3)",20.0,2,0.0,3,2.0,5,5.0,1.0,0.818730753078,0.0
"(46, 5)",10.0,3,2.0,0,0.0,5,5.0,1.0,0.818730753078,0.0
"(46, 6)",10.0,1,2.0,0,0.0,5,5.0,1.0,0.818730753078,0.0
"(47, 1)",20.0,3,0.0,3,2.0,7,5.0,1.0,0.818730753078,0.0
"(47, 5)",10.0,3,2.0,0,0.0,7,5.0,2.0,0.670320046036,0.0
"(47, 6)",10.0,1,2.0,0,0.0,7,5.0,2.0,0.670320046036,0.0
"(53, 1)",5.5,3,5.0,0,0.0,2,4.0,1.0,0.818730753078,1.0
"(53, 2)",5.5,3,5.0,0,0.0,2,4.0,1.0,0.818730753078,1.0
"(53, 3)",2.5,2,0.0,3,3.0,2,4.0,1.0,0.818730753078,0.0
"(53, 4)",8.0,1,1.0,3,2.0,2,4.0,1.0,0.818730753078,1.0
"(53, 5)",8.0,3,1.0,3,3.0,2,4.0,1.0,0.818730753078,1.0
"(54, 1)",7.5,3,3.0,0,0.0,5,5.0,1.0,0.818730753078,0.0
"(54, 2)",7.5,3,3.0,0,0.0,5,5.0,1.0,0.818730753078,0.0
"(54, 3)",7.5,2,3.0,0,0.0,5,5.0,1.0,0.818730753078,0.0
"(54, 4)",15.0,1,0.0,3,3.0,5,5.0,1.0,0.818730753078,0.0
"(59, 2)",10.0,3,0.0,3,1.0,5,5.0,1.0,0.818730753078,0.0
"(59, 3)",10.0,2,0.0,3,1.0,5,5.0,1.0,0.818730753078,0.0
"(59, 5)",5.0,3,1.0,0,0.0,5,5.0,1.0,0.818730753078,0.0
"(59, 6)",5.0,1,1.0,0,0.0,5,5.0,1.0,0.818730753078,0.0
"(60, 3)",10.0,2,0.0,3,1.0,8,5.0,2.0,0.670320046036,0.0
"(60, 5)",5.0,3,1.0,0,0.0,8,5.0,2.0,0.670320046036,0.0
"(60, 6)",5.0,1,1.0,0,0.0,8,5.0,2.0,0.670320046036,0.0
"(61, 5)",5.0,3,1.0,0,0.0,10,5.0,2.0,0.670320046036,0.0
"(61, 6)",5.0,1,1.0,0,0.0,10,5.0,2.0,0.670320046036,0.0
"(64, 0)",20.0,1,0.0,3,2.0,6,5.0,1.0,0.818730753078,0.0
"(64, 2)",20.0,3,0.0,3,2.0,6,5.0,1.0,0.818730753078,0.0
"(64, 5)",10.0,3,2.0,0,0.0,6,5.0,1.0,0.818730753078,0.0
"(64, 6)",10.0,1,2.0,0,0.0,6,5.0,2.0,0.670320046036,0.0
"(69, 2)",10.0,3,0.0,3,1.0,7,5.0,2.0,0.670320046036,0.0
"(69, 5)",5.0,3,1.0,0,0.0,7,5.0,2.0,0.670320046036,0.0
"(69, 6)",5.0,1,1.0,0,0.0,7,5.0,1.0,0.818730753078,0.0
"(71, 1)",11.5,3,3.0,0,0.0,2,2.0,1.0,0.818730753078,1.0
"(71, 2)",11.5,3,4.0,0,0.0,2,2.0,1.0,0.818730753078,1.0
"(71, 3)",2.5,2,0.0,3,3.0,2,2.0,1.0,0.818730753078,0.0
"(71, 4)",14.0,1,3.0,0,0.0,2,2.0,1.0,0.818730753078,1.0
"(71, 5)",14.0,3,1.0,0,0.0,2,2.0,1.0,0.818730753078,1.0
"(74, 1)",0.0,3,0.0,3,3.0,4,2.0,1.0,0.818730753078,0.0
"(74, 3)",24.0,2,3.0,0,0.0,4,2.0,1.0,0.818730753078,0.75
"(74, 4)",24.0,1,1.0,0,0.0,4,2.0,1.0,0.818730753078,0.75
"(74, 5)",0.0,3,0.0,3,3.0,4,2.0,1.0,0.818730753078,0.0
"(74, 6)",24.0,1,1.0,0,0.0,4,2.0,1.0,0.818730753078,0.75
"(78, 1)",24.0,3,4.0,0,0.0,4,2.0,1.0,0.818730753078,1.0
"(78, 2)",24.0,3,1.0,0,0.0,4,2.0,1.0,0.818730753078,1.0
"(78, 4)",24.0,1,3.0,0,0.0,4,2.0,1.0,0.818730753078,1.0
"(78, 5)",24.0,3,2.0,0,0.0,4,2.0,1.0,0.818730753078,1.0
"(80, 1)",27.0,3,4.0,0,0.0,4,1.0,1.0,0.818730753078,1.0
"(80, 2)",27.0,3,2.0,0,0.0,4,1.0,1.0,0.818730753078,1.0
"(80, 4)",27.0,1,3.0,0,0.0,4,1.0,1.0,0.818730753078,1.0
"(80, 5)",27.0,3,2.0,0,0.0,4,1.0,1.0,0.818730753078,1.0
"(83, 3)",21.0,2,1.0,0,0.0,7,3.0,2.0,0.670320046036,0.75
"(83, 4)",21.0,1,2.0,3,1.0,7,3.0,1.0,0.818730753078,0.75
"(83, 5)",0.0,3,0.0,3,3.0,7,3.0,2.0,0.670320046036,0.0
"(83, 6)",21.0,1,3.0,0,0.0,7,3.0,1.0,0.818730753078,0.75
"(90, 1)",10.0,3,0.0,3,1.0,6,5.0,1.0,0.818730753078,0.0
"(90, 4)",10.0,1,0.0,3,1.0,6,5.0,2.0,0.670320046036,0.0
"(90, 5)",5.0,3,1.0,0,0.0,6,5.0,1.0,0.818730753078,0.0
"(90, 6)",5.0,1,1.0,0,0.0,6,5.0,1.0,0.818730753078,0.0
"(91, 1)",10.0,3,0.0,3,1.0,7,5.0,1.0,0.818730753078,0.0
"(91, 5)",5.0,3,1.0,0,0.0,7,5.0,1.0,0.818730753078,0.0
"(91, 6)",5.0,1,1.0,0,0.0,7,5.0,2.0,0.670320046036,0.0
"(95, 0)",0.0,1,0.0,3,3.0,1,2.0,1.0,0.818730753078,0.75
"(95, 1)",14.0,3,1.0,0,0.0,1,2.0,1.0,0.818730753078,1.0
"(95, 3)",0.0,2,0.0,3,3.0,1,2.0,1.0,0.818730753078,0.75
"(95, 4)",14.0,1,3.0,0,0.0,1,2.0,1.0,0.818730753078,1.0
"(95, 5)",14.0,3,3.0,0,0.0,1,2.0,1.0,0.818730753078,1.0
"(97, 1)",7.5,3,3.0,0,0.0,6,5.0,2.0,0.670320046036,0.0
"(97, 2)",7.5,3,3.0,0,0.0,6,5.0,1.0,0.818730753078,0.0
"(97, 3)",7.5,2,3.0,0,0.0,6,5.0,1.0,0.818730753078,0.0
"(103, 2)",20.0,3,0.0,3,2.0,5,5.0,1.0,0.818730753078,0.0
"(103, 3)",20.0,2,0.0,3,2.0,5,5.0,1.0,0.818730753078,0.0
"(103, 5)",10.0,3,2.0,0,0.0,5,5.0,1.0,0.818730753078,0.0
"(103, 6)",10.0,1,2.0,0,0.0,5,5.0,1.0,0.818730753078,0.0
"(109, 0)",0.0,1,0.0,3,3.0,6,2.0,1.0,0.818730753078,0.75
"(109, 2)",0.0,3,0.0,3,3.0,6,2.0,1.0,0.818730753078,0.75
