,Action Betw,resource,satisfied demand,mean rem demand,actual rem demand,collected debris,satisfied demand,period,exponential period,degree
"(108, 0)",5.0,0.5,0.0,3,1.0,2.0,5.0,3.0,0.548811636094,0.75
"(108, 1)",0.0,1.5,1.0,0,0.0,2.0,5.0,4.0,0.449328964117,0.0
"(108, 2)",5.0,4.0,0.0,3,1.0,2.0,5.0,6.0,0.301194211912,0.75
"(108, 3)",5.0,0.5,0.0,3,1.0,2.0,5.0,3.0,0.548811636094,0.75
"(108, 5)",0.0,3.0,0.0,3,1.0,2.0,5.0,5.0,0.367879441171,0.0
"(113, 0)",10.0,0.5,0.0,3,2.0,2.0,5.0,3.0,0.548811636094,0.75
"(113, 1)",0.0,1.5,2.0,0,0.0,2.0,5.0,4.0,0.449328964117,0.0
"(113, 2)",10.0,4.0,0.0,3,2.0,2.0,5.0,6.0,0.301194211912,0.75
"(113, 3)",10.0,0.5,0.0,3,2.0,2.0,5.0,3.0,0.548811636094,0.75
"(113, 5)",0.0,3.0,0.0,3,2.0,2.0,5.0,5.0,0.367879441171,0.0
"(117, 0)",10.0,0.5,0.0,3,2.0,4.0,5.0,5.0,0.367879441171,0.75
"(117, 1)",0.0,1.5,2.0,0,0.0,4.0,5.0,6.0,0.301194211912,0.0
"(117, 2)",10.0,4.0,0.0,3,2.0,4.0,5.0,8.0,0.201896517995,0.75
"(117, 3)",10.0,0.5,0.0,3,2.0,4.0,5.0,5.0,0.367879441171,0.75
"(117, 4)",0.0,1.0,0.0,3,2.0,4.0,5.0,5.0,0.367879441171,0.0
"(118, 0)",10.0,0.5,0.0,3,2.0,5.0,5.0,6.0,0.301194211912,0.75
"(118, 1)",0.0,1.5,2.0,0,0.0,5.0,5.0,7.0,0.246596963942,0.0
"(118, 2)",10.0,4.0,0.0,3,2.0,5.0,5.0,9.0,0.165298888222,0.75
"(118, 3)",10.0,0.5,0.0,3,2.0,5.0,5.0,6.0,0.301194211912,0.75
"(119, 0)",20.0,0.5,2.0,0,0.0,5.5,5.0,6.0,0.301194211912,0.0
"(119, 1)",20.0,1.5,2.0,0,0.0,5.5,5.0,7.0,0.246596963942,0.0
"(119, 2)",40.0,4.0,0.0,3,2.0,5.5,5.0,10.0,0.135335283237,0.0
"(119, 3)",20.0,0.5,2.0,0,0.0,5.5,5.0,6.0,0.301194211912,0.0
"(120, 0)",20.0,0.5,2.0,0,0.0,9.5,5.0,10.0,0.135335283237,0.0
