,Intercept,SNEBC,resource,Rem. demand,Rem. Debris,Satisfied demand,Exp period before,Exp period after,IG_1
"(21, 2)",1,20.0,4.0,2.0,6.0,5.0,0.818730753078,0.301194211912,0.0
"(21, 5)",1,10.0,3.0,2.0,5.0,5.0,0.670320046036,0.367879441171,0.0
"(21, 6)",1,10.0,1.0,2.0,3.0,5.0,0.670320046036,0.548811636094,0.0
"(27, 1)",1,0.0,1.5,3.0,6.0,1.0,0.367879441171,0.301194211912,0.0
"(27, 3)",1,39.0,0.5,3.0,5.0,1.0,0.818730753078,0.367879441171,3.0
"(27, 4)",1,39.0,1.0,3.0,5.5,1.0,0.818730753078,0.301194211912,3.0
"(27, 5)",1,0.0,3.0,3.0,7.5,1.0,0.818730753078,0.201896517995,0.0
"(27, 6)",1,39.0,1.0,3.0,5.5,1.0,0.818730753078,0.301194211912,3.0
"(28, 3)",1,39.0,0.5,3.0,6.5,1.0,0.818730753078,0.246596963942,3.0
"(28, 4)",1,39.0,1.0,3.0,7.0,1.0,0.301194211912,0.246596963942,3.0
"(28, 5)",1,0.0,3.0,3.0,9.0,1.0,0.818730753078,0.165298888222,0.0
"(28, 6)",1,39.0,1.0,3.0,7.0,1.0,0.818730753078,0.246596963942,3.0
"(31, 2)",1,20.0,4.0,2.0,6.5,5.0,0.818730753078,0.246596963942,0.0
"(31, 4)",1,20.0,1.0,2.0,3.5,5.0,0.548811636094,0.449328964117,0.0
"(31, 5)",1,10.0,3.0,2.0,5.5,5.0,0.548811636094,0.301194211912,0.0
"(31, 6)",1,10.0,1.0,2.0,3.5,5.0,0.818730753078,0.449328964117,0.0
"(32, 0)",1,20.0,0.5,2.0,3.0,5.0,0.818730753078,0.548811636094,0.0
"(32, 2)",1,20.0,4.0,2.0,7.5,5.0,0.818730753078,0.201896517995,0.0
"(32, 3)",1,20.0,0.5,2.0,3.0,5.0,0.548811636094,0.548811636094,0.0
"(32, 5)",1,10.0,3.0,2.0,6.5,5.0,0.449328964117,0.246596963942,0.0
"(32, 6)",1,10.0,1.0,2.0,4.5,5.0,0.449328964117,0.367879441171,0.0
"(34, 1)",1,0.0,1.5,3.0,9.0,4.0,0.201896517995,0.165298888222,0.0
"(34, 3)",1,36.0,0.5,3.0,8.0,4.0,0.818730753078,0.201896517995,3.0
"(34, 4)",1,36.0,1.0,3.0,8.5,4.0,0.818730753078,0.165298888222,3.0
"(34, 6)",1,36.0,1.0,3.0,8.5,4.0,0.818730753078,0.165298888222,3.0
"(35, 3)",1,36.0,0.5,3.0,9.5,4.0,0.818730753078,0.135335283237,3.0
"(35, 4)",1,36.0,1.0,3.0,10.0,4.0,0.165298888222,0.135335283237,3.0
"(35, 6)",1,36.0,1.0,3.0,10.0,4.0,0.165298888222,0.135335283237,3.0
"(38, 0)",1,10.0,0.5,1.0,3.0,5.0,0.818730753078,0.548811636094,0.0
"(38, 2)",1,10.0,4.0,1.0,7.5,5.0,0.449328964117,0.201896517995,0.0
"(38, 3)",1,10.0,0.5,1.0,3.0,5.0,0.548811636094,0.548811636094,0.0
"(38, 5)",1,5.0,3.0,1.0,6.5,5.0,0.818730753078,0.246596963942,0.0
"(38, 6)",1,5.0,1.0,1.0,4.5,5.0,0.449328964117,0.367879441171,0.0
"(39, 0)",1,10.0,0.5,1.0,7.0,5.0,0.246596963942,0.246596963942,0.0
"(39, 3)",1,10.0,0.5,1.0,7.0,5.0,0.246596963942,0.246596963942,0.0
"(39, 5)",1,5.0,3.0,1.0,10.5,5.0,0.201896517995,0.110803158362,0.0
"(39, 6)",1,5.0,1.0,1.0,8.5,5.0,0.201896517995,0.165298888222,0.0
"(45, 0)",1,30.0,0.5,3.0,3.5,5.0,0.548811636094,0.449328964117,0.0
"(45, 2)",1,30.0,4.0,3.0,7.0,5.0,0.818730753078,0.246596963942,0.0
"(45, 3)",1,30.0,0.5,3.0,3.5,5.0,0.818730753078,0.449328964117,0.0
"(45, 5)",1,15.0,3.0,3.0,6.0,5.0,0.818730753078,0.301194211912,0.0
"(45, 6)",1,15.0,1.0,3.0,4.0,5.0,0.548811636094,0.449328964117,0.0
"(49, 3)",1,21.0,0.5,3.0,6.5,4.0,0.301194211912,0.246596963942,3.0
"(49, 4)",1,21.0,1.0,3.0,7.0,4.0,0.818730753078,0.246596963942,3.0
"(49, 5)",1,0.0,3.0,3.0,9.0,4.0,0.818730753078,0.165298888222,0.0
"(49, 6)",1,21.0,1.0,3.0,7.0,4.0,0.818730753078,0.246596963942,3.0
"(50, 4)",1,10.0,1.0,1.0,7.5,5.0,0.818730753078,0.201896517995,0.0
"(50, 5)",1,5.0,3.0,1.0,9.5,5.0,0.246596963942,0.135335283237,0.0
"(50, 6)",1,5.0,1.0,1.0,7.5,5.0,0.818730753078,0.201896517995,0.0
"(52, 1)",1,0.0,1.5,3.0,6.0,2.0,0.818730753078,0.301194211912,0.0
"(52, 3)",1,33.0,0.5,3.0,5.0,2.0,0.818730753078,0.367879441171,3.0
"(52, 4)",1,33.0,1.0,3.0,5.5,2.0,0.818730753078,0.301194211912,3.0
"(52, 5)",1,0.0,3.0,3.0,7.5,2.0,0.818730753078,0.201896517995,0.0
"(52, 6)",1,33.0,1.0,3.0,5.5,2.0,0.367879441171,0.301194211912,3.0
"(55, 0)",1,30.0,0.5,3.0,7.5,5.0,0.246596963942,0.201896517995,0.0
"(55, 3)",1,30.0,0.5,3.0,7.5,5.0,0.246596963942,0.201896517995,0.0
"(55, 5)",1,15.0,3.0,3.0,10.0,5.0,0.246596963942,0.135335283237,0.0
"(55, 6)",1,15.0,1.0,3.0,8.0,5.0,0.246596963942,0.201896517995,0.0
"(58, 1)",1,20.0,1.5,2.0,7.0,5.0,0.818730753078,0.246596963942,0.0
"(58, 3)",1,20.0,0.5,2.0,6.0,5.0,0.301194211912,0.301194211912,0.0
"(58, 5)",1,10.0,3.0,2.0,8.5,5.0,0.301194211912,0.165298888222,0.0
"(58, 6)",1,10.0,1.0,2.0,6.5,5.0,0.818730753078,0.246596963942,0.0
"(59, 1)",1,20.0,1.5,2.0,7.5,5.0,0.818730753078,0.201896517995,0.0
"(59, 5)",1,10.0,3.0,2.0,9.0,5.0,0.301194211912,0.165298888222,0.0
"(59, 6)",1,10.0,1.0,2.0,7.0,5.0,0.301194211912,0.246596963942,0.0
"(69, 1)",1,30.0,1.5,3.0,7.0,5.0,0.301194211912,0.246596963942,0.0
"(69, 3)",1,30.0,0.5,3.0,6.0,5.0,0.818730753078,0.301194211912,0.0
"(69, 5)",1,15.0,3.0,3.0,8.5,5.0,0.301194211912,0.165298888222,0.0
"(69, 6)",1,15.0,1.0,3.0,6.5,5.0,0.818730753078,0.246596963942,0.0
"(70, 2)",1,20.0,4.0,2.0,7.5,5.0,0.818730753078,0.201896517995,0.0
"(70, 5)",1,10.0,3.0,2.0,6.5,5.0,0.449328964117,0.246596963942,0.0
"(70, 6)",1,10.0,1.0,2.0,4.5,5.0,0.449328964117,0.367879441171,0.0
"(72, 0)",1,30.0,0.5,3.0,7.0,5.0,0.246596963942,0.246596963942,0.0
"(72, 3)",1,30.0,0.5,3.0,7.0,5.0,0.818730753078,0.246596963942,0.0
"(72, 5)",1,15.0,3.0,3.0,10.5,5.0,0.818730753078,0.110803158362,0.0
"(72, 6)",1,15.0,1.0,3.0,8.5,5.0,0.201896517995,0.165298888222,0.0
"(75, 1)",1,0.0,1.5,3.0,9.0,1.0,0.201896517995,0.165298888222,0.0
"(75, 3)",1,54.0,0.5,3.0,8.0,1.0,0.201896517995,0.201896517995,3.0
"(75, 4)",1,54.0,1.0,3.0,8.5,1.0,0.818730753078,0.165298888222,3.0
"(75, 6)",1,54.0,1.0,3.0,8.5,1.0,0.818730753078,0.165298888222,3.0
"(76, 3)",1,54.0,0.5,3.0,9.5,1.0,0.818730753078,0.135335283237,3.0
"(76, 4)",1,54.0,1.0,3.0,10.0,1.0,0.165298888222,0.135335283237,3.0
"(76, 6)",1,54.0,1.0,3.0,10.0,1.0,0.818730753078,0.135335283237,3.0
"(79, 2)",1,0.0,4.0,3.0,9.0,1.0,0.818730753078,0.165298888222,0.0
"(79, 3)",1,54.0,0.5,3.0,5.5,1.0,0.367879441171,0.301194211912,3.0
"(79, 4)",1,54.0,1.0,3.0,6.0,1.0,0.818730753078,0.301194211912,3.0
"(79, 6)",1,54.0,1.0,3.0,6.0,1.0,0.367879441171,0.301194211912,3.0
"(81, 0)",1,10.0,0.5,1.0,7.5,5.0,0.818730753078,0.201896517995,0.0
"(81, 3)",1,10.0,0.5,1.0,7.5,5.0,0.818730753078,0.201896517995,0.0
"(81, 5)",1,5.0,3.0,1.0,10.0,5.0,0.818730753078,0.135335283237,0.0
"(81, 6)",1,5.0,1.0,1.0,8.0,5.0,0.246596963942,0.201896517995,0.0
"(88, 0)",1,0.0,0.5,3.0,2.0,4.0,0.818730753078,0.670320046036,0.0
"(88, 1)",1,8.0,1.5,3.0,3.0,4.0,0.818730753078,0.548811636094,3.0
"(88, 2)",1,8.0,4.0,3.0,5.5,4.0,0.818730753078,0.301194211912,3.0
"(88, 3)",1,5.0,0.5,3.0,2.0,4.0,0.818730753078,0.670320046036,0.0
"(88, 4)",1,13.0,1.0,3.0,2.5,4.0,0.670320046036,0.548811636094,3.0
"(88, 5)",1,13.0,3.0,3.0,4.5,4.0,0.670320046036,0.367879441171,3.0
"(89, 0)",1,0.0,0.5,4.0,5.0,5.0,0.818730753078,0.367879441171,0.0
"(89, 1)",1,40.0,1.5,4.0,6.0,5.0,0.818730753078,0.301194211912,0.0
"(89, 2)",1,40.0,4.0,4.0,8.5,5.0,0.818730753078,0.165298888222,0.0
"(89, 3)",1,40.0,0.5,4.0,5.0,5.0,0.818730753078,0.367879441171,0.0
"(89, 4)",1,80.0,1.0,4.0,5.5,5.0,0.367879441171,0.301194211912,0.0
"(90, 0)",1,0.0,0.5,4.0,6.0,5.0,0.301194211912,0.301194211912,0.0
"(90, 1)",1,40.0,1.5,4.0,7.0,5.0,0.818730753078,0.246596963942,0.0
"(90, 2)",1,40.0,4.0,4.0,9.5,5.0,0.818730753078,0.135335283237,0.0
"(90, 3)",1,40.0,0.5,4.0,6.0,5.0,0.301194211912,0.301194211912,0.0
"(107, 3)",1,33.0,0.5,3.0,6.5,2.0,0.818730753078,0.246596963942,3.0
"(107, 4)",1,33.0,1.0,3.0,7.0,2.0,0.818730753078,0.246596963942,3.0
"(107, 5)",1,0.0,3.0,3.0,9.0,2.0,0.818730753078,0.165298888222,0.0
"(107, 6)",1,33.0,1.0,3.0,7.0,2.0,0.301194211912,0.246596963942,3.0
"(110, 0)",1,0.0,0.5,1.0,5.0,5.0,0.367879441171,0.367879441171,0.0
"(110, 1)",1,10.0,1.5,1.0,6.0,5.0,0.367879441171,0.301194211912,0.0
"(110, 2)",1,10.0,4.0,1.0,8.5,5.0,0.818730753078,0.165298888222,0.0
"(110, 3)",1,10.0,0.5,1.0,5.0,5.0,0.818730753078,0.367879441171,0.0
"(110, 4)",1,20.0,1.0,1.0,5.5,5.0,0.367879441171,0.301194211912,0.0
"(112, 0)",1,0.0,0.5,2.0,5.0,5.0,0.818730753078,0.367879441171,0.0
"(112, 1)",1,20.0,1.5,2.0,6.0,5.0,0.818730753078,0.301194211912,0.0
"(112, 2)",1,20.0,4.0,2.0,8.5,5.0,0.367879441171,0.165298888222,0.0
"(112, 3)",1,20.0,0.5,2.0,5.0,5.0,0.367879441171,0.367879441171,0.0
"(112, 4)",1,40.0,1.0,2.0,5.5,5.0,0.367879441171,0.301194211912,0.0
"(117, 0)",1,0.0,0.5,1.0,6.0,5.0,0.301194211912,0.301194211912,0.0
"(117, 1)",1,10.0,1.5,1.0,7.0,5.0,0.301194211912,0.246596963942,0.0
"(117, 2)",1,10.0,4.0,1.0,9.5,5.0,0.818730753078,0.135335283237,0.0
"(117, 3)",1,10.0,0.5,1.0,6.0,5.0,0.301194211912,0.301194211912,0.0
"(119, 1)",1,0.0,1.5,3.0,5.0,3.0,0.818730753078,0.367879441171,0.0
"(119, 2)",1,0.0,4.0,3.0,7.5,3.0,0.449328964117,0.201896517995,0.0
"(119, 3)",1,36.0,0.5,3.0,4.0,3.0,0.449328964117,0.449328964117,3.0
"(119, 4)",1,36.0,1.0,3.0,4.5,3.0,0.818730753078,0.367879441171,3.0
"(119, 6)",1,36.0,1.0,3.0,4.5,3.0,0.818730753078,0.367879441171,3.0
"(120, 1)",1,0.0,1.5,3.0,9.0,3.0,0.818730753078,0.165298888222,0.0
"(120, 3)",1,42.0,0.5,3.0,8.0,3.0,0.201896517995,0.201896517995,3.0
"(120, 4)",1,42.0,1.0,3.0,8.5,3.0,0.818730753078,0.165298888222,3.0
"(120, 6)",1,42.0,1.0,3.0,8.5,3.0,0.201896517995,0.165298888222,3.0
"(122, 0)",1,0.0,0.5,2.0,6.0,5.0,0.301194211912,0.301194211912,0.0
"(122, 1)",1,20.0,1.5,2.0,7.0,5.0,0.301194211912,0.246596963942,0.0
"(122, 2)",1,20.0,4.0,2.0,9.5,5.0,0.301194211912,0.135335283237,0.0
"(122, 3)",1,20.0,0.5,2.0,6.0,5.0,0.818730753078,0.301194211912,0.0
"(126, 1)",1,10.0,1.5,1.0,6.5,5.0,0.818730753078,0.246596963942,0.0
"(126, 4)",1,10.0,1.0,1.0,6.0,5.0,0.818730753078,0.301194211912,0.0
"(126, 5)",1,5.0,3.0,1.0,8.0,5.0,0.818730753078,0.201896517995,0.0
"(126, 6)",1,5.0,1.0,1.0,6.0,5.0,0.367879441171,0.301194211912,0.0
"(129, 3)",1,42.0,0.5,3.0,9.5,3.0,0.165298888222,0.135335283237,3.0
"(129, 4)",1,42.0,1.0,3.0,10.0,3.0,0.165298888222,0.135335283237,3.0
"(129, 6)",1,42.0,1.0,3.0,10.0,3.0,0.165298888222,0.135335283237,3.0
"(131, 0)",1,10.0,0.5,1.0,3.5,5.0,0.548811636094,0.449328964117,0.0
"(131, 2)",1,10.0,4.0,1.0,7.0,5.0,0.818730753078,0.246596963942,0.0
"(131, 3)",1,10.0,0.5,1.0,3.5,5.0,0.818730753078,0.449328964117,0.0
"(131, 5)",1,5.0,3.0,1.0,6.0,5.0,0.548811636094,0.301194211912,0.0
"(131, 6)",1,5.0,1.0,1.0,4.0,5.0,0.818730753078,0.449328964117,0.0
"(133, 0)",1,0.0,0.5,3.0,1.5,4.0,0.818730753078,0.670320046036,0.0
"(133, 1)",1,13.0,1.5,3.0,2.5,4.0,0.818730753078,0.548811636094,3.0
"(133, 3)",1,0.0,0.5,3.0,1.5,4.0,0.818730753078,0.670320046036,0.0
"(133, 4)",1,13.0,1.0,3.0,2.0,4.0,0.818730753078,0.670320046036,3.0
"(133, 5)",1,13.0,3.0,3.0,4.0,4.0,0.818730753078,0.449328964117,3.0
"(134, 0)",1,20.0,0.5,2.0,3.0,5.0,0.818730753078,0.548811636094,0.0
"(134, 1)",1,20.0,1.5,2.0,4.0,5.0,0.818730753078,0.449328964117,0.0
"(134, 2)",1,40.0,4.0,2.0,6.5,5.0,0.548811636094,0.246596963942,0.0
"(134, 3)",1,40.0,0.5,2.0,3.0,5.0,0.548811636094,0.548811636094,0.0
"(134, 5)",1,40.0,3.0,2.0,5.5,5.0,0.548811636094,0.301194211912,0.0
"(135, 0)",1,20.0,0.5,2.0,7.0,5.0,0.246596963942,0.246596963942,0.0
"(135, 1)",1,20.0,1.5,2.0,8.0,5.0,0.246596963942,0.201896517995,0.0
"(135, 5)",1,40.0,3.0,2.0,9.5,5.0,0.246596963942,0.135335283237,0.0
"(136, 0)",1,20.0,0.5,2.0,10.0,5.0,0.135335283237,0.135335283237,0.0
"(136, 1)",1,20.0,1.5,2.0,11.0,5.0,0.818730753078,0.110803158362,0.0
"(141, 0)",1,30.0,0.5,3.0,5.0,5.0,0.818730753078,0.367879441171,0.0
"(141, 1)",1,30.0,1.5,3.0,6.0,5.0,0.818730753078,0.301194211912,0.0
"(141, 2)",1,60.0,4.0,3.0,8.5,5.0,0.367879441171,0.165298888222,0.0
"(141, 3)",1,60.0,0.5,3.0,5.0,5.0,0.818730753078,0.367879441171,0.0
"(141, 4)",1,60.0,1.0,3.0,5.5,5.0,0.818730753078,0.301194211912,0.0
"(142, 0)",1,30.0,0.5,3.0,9.0,5.0,0.165298888222,0.165298888222,0.0
"(142, 1)",1,30.0,1.5,3.0,10.0,5.0,0.165298888222,0.135335283237,0.0
"(142, 4)",1,60.0,1.0,3.0,9.5,5.0,0.165298888222,0.135335283237,0.0
"(144, 5)",1,10.0,3.0,2.0,10.5,5.0,0.201896517995,0.110803158362,0.0
"(144, 6)",1,10.0,1.0,2.0,8.5,5.0,0.818730753078,0.165298888222,0.0
"(146, 0)",1,0.0,0.5,3.0,1.5,3.0,0.818730753078,0.670320046036,0.0
"(146, 1)",1,16.0,1.5,3.0,2.5,3.0,0.818730753078,0.548811636094,3.0
"(146, 3)",1,0.0,0.5,3.0,1.5,3.0,0.818730753078,0.670320046036,0.0
"(146, 4)",1,16.0,1.0,3.0,2.0,3.0,0.818730753078,0.670320046036,3.0
"(146, 5)",1,16.0,3.0,3.0,4.0,3.0,0.818730753078,0.449328964117,3.0
"(147, 0)",1,5.0,0.5,1.0,2.5,5.0,0.670320046036,0.548811636094,0.0
"(147, 1)",1,0.0,1.5,1.0,3.5,5.0,0.818730753078,0.449328964117,0.0
"(147, 2)",1,5.0,4.0,1.0,6.0,5.0,0.818730753078,0.301194211912,0.0
"(147, 3)",1,5.0,0.5,1.0,2.5,5.0,0.818730753078,0.548811636094,0.0
"(147, 5)",1,0.0,3.0,1.0,5.0,5.0,0.670320046036,0.367879441171,0.0
"(148, 0)",1,0.0,0.5,1.0,3.0,5.0,0.548811636094,0.548811636094,0.0
"(148, 1)",1,10.0,1.5,1.0,4.0,5.0,0.548811636094,0.449328964117,0.0
"(148, 2)",1,10.0,4.0,1.0,6.5,5.0,0.548811636094,0.246596963942,0.0
"(148, 3)",1,10.0,0.5,1.0,3.0,5.0,0.818730753078,0.548811636094,0.0
"(148, 5)",1,20.0,3.0,1.0,5.5,5.0,0.818730753078,0.301194211912,0.0
"(154, 0)",1,20.0,0.5,2.0,9.0,5.0,0.818730753078,0.165298888222,0.0
"(154, 1)",1,20.0,1.5,2.0,10.0,5.0,0.165298888222,0.135335283237,0.0
"(154, 4)",1,40.0,1.0,2.0,9.5,5.0,0.818730753078,0.135335283237,0.0
"(155, 0)",1,0.0,0.5,3.0,6.0,3.0,0.818730753078,0.301194211912,0.0
"(155, 3)",1,27.0,0.5,3.0,6.0,3.0,0.301194211912,0.301194211912,3.0
"(155, 4)",1,27.0,1.0,3.0,6.5,3.0,0.818730753078,0.246596963942,3.0
"(155, 5)",1,0.0,3.0,3.0,8.5,3.0,0.818730753078,0.165298888222,0.0
"(155, 6)",1,27.0,1.0,3.0,6.5,3.0,0.301194211912,0.246596963942,3.0
"(157, 0)",1,10.5,0.5,3.0,5.0,3.0,0.818730753078,0.367879441171,0.0
"(157, 2)",1,10.5,4.0,3.0,8.5,3.0,0.818730753078,0.165298888222,0.0
"(157, 4)",1,10.5,1.0,3.0,5.5,3.0,0.818730753078,0.301194211912,3.0
"(157, 6)",1,10.5,1.0,3.0,5.5,3.0,0.367879441171,0.301194211912,3.0
"(161, 1)",1,0.0,1.5,3.0,6.0,3.0,0.818730753078,0.301194211912,0.0
"(161, 3)",1,27.0,0.5,3.0,5.0,3.0,0.818730753078,0.367879441171,3.0
"(161, 4)",1,27.0,1.0,3.0,5.5,3.0,0.367879441171,0.301194211912,3.0
"(161, 5)",1,0.0,3.0,3.0,7.5,3.0,0.818730753078,0.201896517995,0.0
"(161, 6)",1,27.0,1.0,3.0,5.5,3.0,0.818730753078,0.301194211912,3.0
"(162, 1)",1,0.0,1.5,3.0,5.0,4.0,0.449328964117,0.367879441171,0.0
"(162, 2)",1,0.0,4.0,3.0,7.5,4.0,0.818730753078,0.201896517995,0.0
"(162, 3)",1,33.0,0.5,3.0,4.0,4.0,0.818730753078,0.449328964117,3.0
"(162, 4)",1,33.0,1.0,3.0,4.5,4.0,0.449328964117,0.367879441171,3.0
"(162, 6)",1,33.0,1.0,3.0,4.5,4.0,0.818730753078,0.367879441171,3.0
"(163, 2)",1,0.0,4.0,3.0,9.0,4.0,0.367879441171,0.165298888222,0.0
"(163, 3)",1,36.0,0.5,3.0,5.5,4.0,0.367879441171,0.301194211912,3.0
"(163, 4)",1,36.0,1.0,3.0,6.0,4.0,0.818730753078,0.301194211912,3.0
"(163, 6)",1,36.0,1.0,3.0,6.0,4.0,0.818730753078,0.301194211912,3.0
"(166, 0)",1,15.0,0.5,3.0,4.5,5.0,0.818730753078,0.367879441171,0.0
"(166, 1)",1,0.0,1.5,3.0,5.5,5.0,0.449328964117,0.301194211912,0.0
"(166, 2)",1,15.0,4.0,3.0,8.0,5.0,0.818730753078,0.201896517995,0.0
"(166, 3)",1,15.0,0.5,3.0,4.5,5.0,0.449328964117,0.367879441171,0.0
"(166, 4)",1,0.0,1.0,3.0,5.0,5.0,0.818730753078,0.367879441171,0.0
"(168, 3)",1,27.0,0.5,3.0,6.5,3.0,0.818730753078,0.246596963942,3.0
"(168, 4)",1,27.0,1.0,3.0,7.0,3.0,0.301194211912,0.246596963942,3.0
"(168, 5)",1,0.0,3.0,3.0,9.0,3.0,0.301194211912,0.165298888222,0.0
"(168, 6)",1,27.0,1.0,3.0,7.0,3.0,0.818730753078,0.246596963942,3.0
"(174, 1)",1,30.0,1.5,3.0,7.5,5.0,0.818730753078,0.201896517995,0.0
"(174, 5)",1,15.0,3.0,3.0,9.0,5.0,0.301194211912,0.165298888222,0.0
"(174, 6)",1,15.0,1.0,3.0,7.0,5.0,0.818730753078,0.246596963942,0.0
"(177, 0)",1,0.0,0.5,3.0,2.0,3.0,0.670320046036,0.670320046036,0.0
"(177, 1)",1,11.0,1.5,3.0,3.0,3.0,0.818730753078,0.548811636094,3.0
"(177, 2)",1,11.0,4.0,3.0,5.5,3.0,0.818730753078,0.301194211912,3.0
"(177, 3)",1,5.0,0.5,3.0,2.0,3.0,0.818730753078,0.670320046036,0.0
"(177, 4)",1,16.0,1.0,3.0,2.5,3.0,0.670320046036,0.548811636094,3.0
"(177, 5)",1,16.0,3.0,3.0,4.5,3.0,0.670320046036,0.367879441171,3.0
"(183, 2)",1,0.0,4.0,3.0,9.0,3.0,0.367879441171,0.165298888222,0.0
"(183, 3)",1,42.0,0.5,3.0,5.5,3.0,0.367879441171,0.301194211912,3.0
