Unnamed: 0,Intercept,SNEBC,resource,Rem. demand,Rem. Debris,Satisfied demand,Exp period before,Exp period after,BC_debris,BC_regular,BC_regular_sp,IG_1,Qval
"(3692, 10)",1,30.0,1.0,3.0,11.0,5.0,0.135335283237,0.110803158362,10.2666666667,5.0,15.0,0.0,33.240947508699996
"(3692, 11)",1,30.0,1.0,3.0,11.0,5.0,0.135335283237,0.110803158362,10.2666666667,5.0,15.0,3.0,27.700789590599999
"(3692, 13)",1,30.0,0.5,3.0,10.5,5.0,0.818730753078,0.110803158362,10.2666666667,5.0,15.0,0.0,33.240947508699996
"(3707, 1)",1,0.0,1.0,3.0,12.0,5.0,0.818730753078,0.0907179532894,4.0,4.0,0.0,0.0,22.282073464299998
"(3707, 2)",1,0.0,3.0,3.0,14.0,5.0,0.818730753078,0.0608100626252,4.0,4.0,0.0,0.0,14.9361205104
"(3707, 5)",1,0.0,1.0,3.0,12.0,5.0,0.818730753078,0.0907179532894,4.0,4.0,0.0,0.0,22.282073464299998
"(3707, 7)",1,0.0,4.0,3.0,15.0,5.0,0.818730753078,0.0497870683679,3.0,4.0,0.0,0.0,12.228661193499999
"(3707, 10)",1,30.0,1.0,3.0,12.0,5.0,0.110803158362,0.0907179532894,6.33333333333,4.0,15.0,0.0,27.215385986799998
"(3707, 11)",1,30.0,1.0,3.0,12.0,5.0,0.818730753078,0.0907179532894,6.33333333333,4.0,15.0,3.0,27.215385986799998
"(3707, 13)",1,30.0,0.5,3.0,11.5,5.0,0.818730753078,0.0907179532894,6.33333333333,4.0,15.0,0.0,27.215385986799998
"(3710, 1)",1,0.0,1.0,3.0,8.0,2.0,0.818730753078,0.201896517995,6.13333333333,5.0,0.0,0.0,49.589666466499999
"(3710, 2)",1,0.0,3.0,3.0,10.0,2.0,0.818730753078,0.135335283237,10.2666666667,5.0,0.0,0.0,33.240947508699996
"(3710, 5)",1,0.0,1.0,3.0,8.0,2.0,0.818730753078,0.201896517995,10.2666666667,5.0,0.0,0.0,49.589666466499999
"(3710, 8)",1,0.0,4.0,3.0,11.0,2.0,0.818730753078,0.110803158362,6.13333333333,5.0,0.0,0.0,27.215385986799998
"(3710, 10)",1,48.0,1.0,3.0,8.0,2.0,0.818730753078,0.201896517995,10.2666666667,5.0,24.0,0.0,60.5689553984
"(3710, 11)",1,48.0,1.0,3.0,8.0,2.0,0.246596963942,0.201896517995,10.2666666667,5.0,24.0,3.0,50.4741294986
"(3710, 13)",1,48.0,0.5,3.0,7.5,2.0,0.818730753078,0.201896517995,10.2666666667,5.0,24.0,0.0,60.5689553984
"(3713, 1)",1,0.0,1.0,3.0,12.0,5.0,0.818730753078,0.0907179532894,6.13333333333,5.0,0.0,0.0,22.282073464299998
"(3713, 8)",1,0.0,4.0,3.0,15.0,5.0,0.110803158362,0.0497870683679,6.13333333333,5.0,0.0,0.0,12.228661193499999
"(3713, 10)",1,30.0,1.0,3.0,12.0,5.0,0.818730753078,0.0907179532894,10.2666666667,5.0,15.0,0.0,27.215385986799998
"(3713, 11)",1,30.0,1.0,3.0,12.0,5.0,0.110803158362,0.0907179532894,10.2666666667,5.0,15.0,3.0,27.215385986799998
"(3713, 13)",1,30.0,0.5,3.0,11.5,5.0,0.818730753078,0.0907179532894,10.2666666667,5.0,15.0,0.0,27.215385986799998
"(3715, 0)",1,0.0,4.0,3.0,11.0,1.0,0.818730753078,0.110803158362,6.13333333333,6.0,0.0,0.0,27.215385986799998
"(3715, 2)",1,0.0,3.0,3.0,10.0,1.0,0.818730753078,0.135335283237,6.13333333333,6.0,0.0,0.0,33.240947508699996
"(3715, 3)",1,0.0,1.0,3.0,8.0,1.0,0.818730753078,0.201896517995,6.13333333333,6.0,0.0,0.0,49.589666466499999
"(3715, 4)",1,0.0,1.0,3.0,8.0,1.0,0.818730753078,0.201896517995,10.2666666667,10.0,0.0,0.0,49.589666466499999
"(3715, 7)",1,0.0,4.0,3.0,11.0,1.0,0.818730753078,0.110803158362,6.13333333333,7.0,0.0,0.0,27.215385986799998
"(3715, 10)",1,54.0,1.0,3.0,8.0,1.0,0.246596963942,0.201896517995,10.2666666667,7.0,27.0,0.0,60.5689553984
"(3715, 11)",1,54.0,1.0,3.0,8.0,1.0,0.818730753078,0.201896517995,10.2666666667,7.0,27.0,3.0,50.474129498700002
"(3715, 13)",1,54.0,0.5,3.0,7.5,1.0,0.818730753078,0.201896517995,10.2666666667,7.0,27.0,0.0,60.5689553984
